LGA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA25490,45,40,78,13,34,50,18,59,75,29,123,147,90,323,411,85,174,259,295,145,442,273,168,440,302,186,482,413,96,510,278,100,382,359,72,429,637,65,700,486,6,490,282,19,301,179,0,179,473,36,511,353,17,372,97,77,179,4704,1735,6439
LGA25620,63,84,145,25,37,68,25,67,93,22,156,187,104,369,475,73,216,286,304,159,460,264,168,438,335,195,531,331,94,422,221,104,325,255,64,325,553,73,625,346,4,352,237,19,253,139,7,137,314,43,357,328,25,354,86,99,185,4029,1976,6006
LGA25710,153,138,285,62,65,128,57,112,168,41,166,210,161,453,619,157,312,475,479,273,750,546,268,810,762,277,1033,948,220,1166,755,208,967,826,175,1007,1973,283,2258,1726,21,1746,1828,77,1906,1291,8,1300,4615,103,4720,1074,32,1106,160,101,263,17601,3312,20912
LGA25810,33,71,99,17,29,46,20,75,89,27,114,142,82,429,510,85,231,316,283,125,412,247,190,436,274,135,407,288,104,393,198,66,267,189,37,228,390,72,464,225,17,240,158,18,173,95,3,97,175,23,205,206,14,219,53,113,164,3038,1865,4903
LGA25900,247,645,890,82,207,288,90,545,628,103,1061,1170,240,1661,1900,271,1319,1593,612,1115,1724,618,1558,2185,844,2146,2986,1070,2050,3117,869,2119,2987,1044,1830,2874,2611,3739,6350,2216,372,2585,2188,1099,3284,1584,201,1790,8051,2030,10087,1202,478,1677,177,440,616,24123,24609,48731
LGA25990,21,38,54,14,15,30,11,48,64,11,95,110,66,254,320,52,106,165,174,65,239,177,91,265,198,74,263,189,36,229,111,27,136,121,25,146,239,31,270,152,4,153,82,3,88,52,0,53,100,15,116,139,6,147,49,60,115,1964,1011,2976
LGA26080,13,10,26,9,5,7,0,10,10,0,22,27,15,66,80,23,73,94,42,42,80,58,28,90,70,56,129,82,31,113,51,37,83,66,19,91,100,33,135,69,5,70,64,10,72,38,0,38,159,21,179,67,0,73,8,22,36,939,503,1441
LGA26170,109,142,254,58,58,121,51,151,200,52,266,324,188,806,999,182,493,672,649,268,919,632,353,981,689,306,995,717,210,928,475,155,629,536,111,646,1027,148,1173,650,14,663,533,39,566,289,3,294,612,63,670,566,17,583,170,209,378,8184,3820,12001
LGA26260,40,76,113,30,47,75,23,79,104,32,167,193,73,474,549,92,318,409,370,196,564,303,251,547,347,226,570,446,128,569,285,114,400,316,79,392,545,93,639,408,7,415,245,22,262,131,0,140,318,43,362,317,17,327,69,143,214,4365,2480,6844
LGA26350,289,714,1004,97,231,334,98,443,540,106,807,905,261,1353,1611,259,1146,1400,558,1006,1564,608,1292,1904,824,1838,2667,1013,1866,2883,816,1862,2677,966,1570,2533,2386,3221,5603,2094,433,2522,2027,1006,3026,1523,223,1748,9781,2049,11826,1374,470,1846,232,411,638,25295,21930,47229
LGA26430,39,61,103,21,17,44,16,62,77,12,130,147,86,347,429,79,196,275,276,142,416,237,150,379,258,149,401,276,101,375,185,68,252,196,40,241,364,52,415,219,7,226,178,15,194,85,0,92,248,30,279,218,16,228,74,88,167,3075,1663,4734
LGA26490,81,93,175,51,43,96,39,98,134,23,161,183,132,403,537,134,320,448,408,237,646,422,257,682,542,275,822,626,226,849,467,189,656,519,159,681,1168,278,1442,1020,34,1054,947,96,1048,662,29,688,2001,175,2175,671,76,752,116,87,199,10041,3236,13270
LGA26610,79,74,154,19,22,46,21,85,105,33,193,228,106,456,561,119,256,375,366,185,555,365,241,611,385,224,606,476,147,621,344,102,449,366,95,456,746,119,861,505,33,535,318,27,342,184,14,198,364,45,408,345,38,387,97,138,231,5228,2495,7718
LGA26670,16,13,30,10,9,17,4,33,35,9,60,67,39,167,211,37,83,120,158,58,219,111,66,178,138,74,208,155,48,203,106,38,143,114,17,133,204,29,233,122,0,122,99,10,106,52,0,52,126,12,141,120,9,123,32,30,62,1655,756,2406
LGA26700,84,107,192,34,46,79,29,136,163,42,295,338,158,776,935,177,490,668,613,294,905,523,418,944,641,340,978,705,205,907,476,204,677,526,103,630,1107,160,1263,732,18,755,533,34,571,283,11,294,610,55,671,538,36,577,108,195,306,7927,3923,11847
LGA26730,83,140,223,28,56,83,33,162,193,49,294,338,173,798,968,190,606,788,617,366,983,612,454,1068,692,406,1103,844,328,1172,580,203,785,584,167,754,1316,235,1548,954,57,1006,670,58,729,410,15,422,860,87,945,498,54,551,121,209,333,9310,4680,13993
LGA26810,161,218,378,78,69,143,81,185,271,81,454,541,285,1204,1497,286,654,946,1008,407,1417,814,565,1381,932,451,1386,1057,319,1377,670,266,935,783,185,966,1452,254,1707,947,19,968,688,51,743,394,3,398,1012,87,1098,855,65,918,209,262,472,11797,5738,17538
LGA26890,4,28,32,7,10,20,3,23,30,4,41,46,29,151,180,22,48,77,85,42,125,72,64,137,81,48,131,97,30,127,75,26,98,56,15,73,108,20,126,92,5,98,52,7,58,44,0,41,89,13,109,70,3,71,32,36,61,1021,619,1643
